txn_id,date,merchant,amount,currency,status,category,account_id,notes
TXN1065,04-09-2024,Flipkart,10882.55,INR,SUCCESS,Shopping,ACC003,Refund expected
TXN1054,2024/02/05,Swiggy,$11325.79,INR,success,Food,ACC004,
TXN1021,17-02-2024,Zomato,2536.35,USD,SUCCESS,Food,ACC001,Verified
TXN1045,07-05-2024,Amazon,6874.1,INR,failed,Shopping,ACC004,SUSPICIOUS
TXN1076,14-08-2024,Flipkart,2763.26,INR,SUCCESS,Shopping,ACC004,Duplicate?
TXN1029,19-05-2024,Flipkart,9092.21,INR,FAILED,Shopping,ACC003,
TXN1004,04-07-2024,Jio Recharge,2924.71,INR,SUCCESS,Utilities,ACC001,Verified
TXN1002,2024/01/04,HDFC ATM,10487.18,INR,FAILED,Cash Withdrawal,ACC004,
TXN1000,23-11-2024,Amazon,423.91,INR,failed,,ACC004,
TXN1073,16-05-2024,HDFC ATM,1117.58,INR,failed,Cash Withdrawal,ACC004,
TXN1019,26-11-2024,Amazon,956.16,INR,success,Shopping,ACC004,Refund expected
TXN1006,24-03-2024,IRCTC,5722.86,INR,FAILED,Travel,ACC001,Refund expected
TXN1014,2024/09/05,Amazon,14670.87,INR,failed,Shopping,ACC005,
TXN1009,11-03-2024,MakeMyTrip,7428.06,USD,success,Travel,ACC004,SUSPICIOUS
TXN1066,2024/06/03,Swiggy,10634.88,INR,FAILED,Food,ACC002,
TXN1071,09-10-2024,Amazon,2390.16,INR,SUCCESS,Shopping,ACC005,
TXN1044,16-03-2024,Swiggy,13395.26,INR,success,Food,ACC005,Verified
TXN1047,2024/09/23,IRCTC,9419.89,INR,FAILED,Travel,ACC005,
TXN1088,2024/03/17,Uber,$450.00,USD,SUCCESS,Transport,ACC002,
TXN1033,28-06-2024,Netflix,649.00,INR,SUCCESS,Entertainment,ACC001,
TXN1015,2024/07/12,Spotify,$199.00,inr,success,,ACC003,
TXN1022,05-04-2024,Amazon,32150.75,INR,SUCCESS,Shopping,ACC002,SUSPICIOUS
,2024/08/19,Swiggy,387.50,INR,success,Food,ACC001,
TXN1038,14-01-2024,Ola,234.00,INR,SUCCESS,Transport,ACC003,
TXN1041,2024/05/22,Flipkart,$8750.00,INR,FAILED,,ACC002,
TXN1055,30-09-2024,BigBasket,1876.43,INR,success,Food,ACC001,Verified
TXN1060,2024/11/03,MakeMyTrip,45200.00,INR,SUCCESS,Travel,ACC005,
TXN1062,18-12-2024,Amazon,567.89,INR,PENDING,,ACC003,
,07-02-2024,Zomato,312.00,INR,success,Food,ACC004,
TXN1078,2024/04/28,Paytm,1500.00,INR,SUCCESS,Utilities,ACC002,
TXN1080,22-07-2024,Swiggy,2890.45,USD,FAILED,Food,ACC003,
TXN1083,2024/06/15,HDFC ATM,$15000.00,INR,SUCCESS,Cash Withdrawal,ACC001,
TXN1085,09-08-2024,Myntra,4567.00,INR,success,Shopping,ACC004,
TXN1087,2024/10/01,Flipkart,890.50,INR,FAILED,,ACC005,
TXN1090,15-03-2024,Starbucks,780.00,INR,SUCCESS,Food,ACC002,
TXN1092,2024/01/20,Uber,345.67,INR,success,Transport,ACC001,
TXN1094,27-05-2024,Amazon,$19999.99,INR,SUCCESS,Shopping,ACC003,SUSPICIOUS
TXN1096,2024/07/08,Jio Recharge,599.00,INR,SUCCESS,Utilities,ACC004,
TXN1098,03-11-2024,Ola,189.00,USD,failed,Transport,ACC002,
,2024/09/14,Netflix,199.00,INR,SUCCESS,Entertainment,ACC005,
TXN1004,04-07-2024,Jio Recharge,2924.71,INR,SUCCESS,Utilities,ACC001,Verified
TXN1102,19-02-2024,Zomato,$1245.80,INR,PENDING,Food,ACC003,
